labels,Not,Exp,Imp
1,0.6107587,0.27630302,0.112938255
0,0.98280644,0.007896082,0.009297427
1,0.8838913,0.054472838,0.06163588
1,0.049614806,0.8924741,0.05791105
0,0.9830325,0.009284672,0.0076827835
0,0.9806753,0.009420706,0.009904057
0,0.23708233,0.6588,0.10411763
0,0.97194,0.01557656,0.012483456
0,0.98496497,0.007976809,0.0070581967
0,0.92186314,0.048017595,0.030119218
0,0.97495145,0.009049951,0.015998565
1,0.047634847,0.87979835,0.07256682
0,0.96566397,0.011821743,0.022514299
0,0.9623904,0.012521933,0.02508751
0,0.9792179,0.0100415,0.010740561
0,0.9595962,0.023167046,0.017236726
2,0.9584314,0.019089973,0.022478566
0,0.97299236,0.013205477,0.01380221
0,0.97081023,0.010923078,0.018266812
2,0.9808512,0.008760228,0.010388559
1,0.37799788,0.4772652,0.1447369
0,0.98502666,0.006371691,0.008601635
0,0.97265315,0.01132487,0.01602203
0,0.98173887,0.0080777705,0.010183303
1,0.04853009,0.8938969,0.057572994
0,0.98492485,0.007678294,0.0073968368
1,0.5334914,0.3212186,0.14529002
1,0.046894923,0.90715396,0.04595109
0,0.97387797,0.013108141,0.013013943
0,0.97091216,0.009851198,0.019236576
0,0.9798558,0.006609121,0.013535104
0,0.8317172,0.09342926,0.07485359
0,0.97174597,0.0110521335,0.017201846
0,0.9465095,0.023135958,0.03035452
0,0.9834114,0.008173101,0.008415626
0,0.93748724,0.026581585,0.03593122
0,0.98280644,0.007896082,0.009297427
1,0.8959454,0.06217562,0.041879036
1,0.94774663,0.034597952,0.017655399
1,0.33197722,0.5212681,0.14675467
0,0.93467176,0.033969656,0.03135863
0,0.9714309,0.01551685,0.013052175
0,0.98354536,0.008539516,0.007915145
0,0.53683394,0.32153246,0.14163367
0,0.98374444,0.0075497683,0.00870571
0,0.98544276,0.006703998,0.0078532705
2,0.9606513,0.02117901,0.018169656
0,0.9692026,0.01561329,0.015184094
0,0.9853349,0.006902024,0.0077631194
0,0.89582545,0.03910318,0.06507144
0,0.98384005,0.007999578,0.008160288
0,0.97056246,0.013986558,0.015451096
0,0.9668782,0.016062945,0.017058838
0,0.9823934,0.0082539,0.00935269
0,0.85701466,0.06259703,0.08038824
0,0.9792955,0.009936619,0.010767905
0,0.93981516,0.037620347,0.022564488
0,0.9828992,0.009168921,0.007931911
0,0.98202753,0.009468135,0.008504277
0,0.9696447,0.014844054,0.015511199
0,0.9814802,0.009363045,0.009156766
0,0.58419293,0.30389717,0.11190987
0,0.9823391,0.008960986,0.00869985
0,0.9834072,0.007885936,0.0087068975
0,0.9826865,0.007292155,0.010021365
0,0.9813828,0.009335377,0.009281811
0,0.9830761,0.009010792,0.007913111
0,0.32488096,0.576912,0.098207064
1,0.046894923,0.90715396,0.04595109
0,0.9767992,0.012516086,0.010684702
0,0.98521996,0.0061857086,0.008594315
0,0.9541641,0.018667921,0.027168062
0,0.9739193,0.0128030125,0.013277689
0,0.9801223,0.008070551,0.011807094
1,0.9438715,0.03843551,0.01769295
0,0.9031804,0.05025827,0.046561208
0,0.9614071,0.016592933,0.021999888
1,0.9350412,0.02193645,0.043022413
0,0.96617794,0.01788666,0.015935354
2,0.96414787,0.019171666,0.016680459
0,0.9570483,0.021613358,0.021338314
1,0.05246501,0.8926753,0.054859735
1,0.9592499,0.017746337,0.02300375
0,0.9840156,0.0076830518,0.008301389
0,0.9725645,0.010068998,0.017366514
0,0.9663214,0.017478589,0.016200025
2,0.91637343,0.029599879,0.054026734
0,0.95243484,0.022968173,0.024597043
0,0.9798513,0.011467158,0.00868146
0,0.9842157,0.007570062,0.008214168
0,0.9619573,0.012568616,0.025474103
1,0.9740785,0.013663001,0.012258448
1,0.057608716,0.85673356,0.08565772
1,0.05096268,0.89301807,0.056019228
0,0.053877614,0.8819511,0.06417134
0,0.88585097,0.063585065,0.050563924
0,0.96644497,0.012071453,0.02148355
0,0.98360574,0.0068055745,0.009588679
0,0.496833,0.40704182,0.09612518
2,0.32941428,0.5609734,0.10961231
0,0.9803585,0.00927686,0.010364701
0,0.9804946,0.008403515,0.011101859
0,0.98422664,0.007822189,0.0079511
2,0.97366345,0.008664221,0.017672364
0,0.9827216,0.007166121,0.010112258
0,0.9761632,0.011860157,0.011976518
0,0.7863998,0.0971385,0.11646171
1,0.97361326,0.017108038,0.00927871
0,0.98190224,0.008190911,0.00990676
0,0.98012,0.009140476,0.010739513
0,0.9768519,0.008938303,0.014209735
0,0.9765088,0.009031704,0.014459555
1,0.951965,0.024410484,0.023624595
0,0.21985228,0.6778037,0.10234401
0,0.9780109,0.012591401,0.009397683
0,0.9255177,0.032424297,0.04205805
1,0.9533858,0.017472439,0.029141763
0,0.9849207,0.00673606,0.008343279
0,0.9724664,0.0106708165,0.01686275
2,0.9570042,0.020658372,0.022337392
0,0.97936845,0.009091367,0.011540099
1,0.048924204,0.9098463,0.041229494
0,0.98085046,0.007484973,0.011664584
0,0.9775825,0.009615998,0.0128014395
1,0.938852,0.03602653,0.02512143
0,0.9751769,0.01064563,0.014177491
0,0.9695302,0.015555198,0.01491463
0,0.9820863,0.0092274565,0.008686246
1,0.952609,0.02878809,0.018602943
0,0.9750171,0.008396199,0.016586753
0,0.97917396,0.010758491,0.010067592
0,0.9712119,0.012528607,0.016259473
0,0.9821034,0.0059876814,0.011908803
0,0.9826903,0.0069981897,0.010311566
0,0.9766905,0.008137698,0.015171834
1,0.30497646,0.5820519,0.11297172
0,0.9830177,0.007643358,0.009338907
0,0.98360264,0.007374958,0.009022378
0,0.98343533,0.0063012466,0.010263411
0,0.98272496,0.009029849,0.008245266
1,0.06431542,0.8062139,0.1294707
2,0.9782662,0.011394114,0.010339784
1,0.8808168,0.074631214,0.04455191
0,0.98004663,0.009522565,0.01043084
0,0.84504503,0.077848904,0.07710603
0,0.8922981,0.072967745,0.03473418
1,0.6546255,0.22880761,0.11656682
0,0.9780571,0.012652389,0.009290513
0,0.97306764,0.012619336,0.014312979
0,0.36331132,0.54271495,0.09397372
0,0.9820696,0.008855538,0.009074779
1,0.054075543,0.87789387,0.06803057
0,0.97810954,0.00789609,0.013994346
0,0.9152791,0.033707637,0.051013302
1,0.4954001,0.42393005,0.080669895
0,0.97597027,0.013507987,0.010521783
0,0.9763946,0.011271828,0.012333593
0,0.9825994,0.008587082,0.008813551
0,0.95387506,0.024213368,0.021911565
0,0.98003894,0.009830611,0.010130448
2,0.89436156,0.06389174,0.041746695
2,0.05133377,0.8892161,0.05945014
0,0.98494947,0.0072521,0.0077983523
0,0.98455876,0.006546252,0.008895048
0,0.98455924,0.006362205,0.00907857
0,0.9776945,0.008482347,0.01382325
0,0.93991363,0.032792084,0.027294273
2,0.9800499,0.007136501,0.012813506
2,0.8842849,0.06116291,0.0545521
0,0.12040034,0.82138515,0.058214497
0,0.98206776,0.0068643126,0.011067952
0,0.9593505,0.02366195,0.016987525
0,0.30593508,0.5733686,0.1206963
0,0.9829222,0.007466589,0.009611161
0,0.9842037,0.00832939,0.007467003
0,0.9825133,0.0066926097,0.01079407
0,0.97298694,0.009593677,0.017419301
0,0.9831987,0.0067406422,0.010060682
0,0.971762,0.01558283,0.01265519
0,0.9842461,0.007199016,0.008554935
1,0.30139625,0.56940883,0.12919496
0,0.8032837,0.11986468,0.07685172
1,0.25290146,0.6598674,0.08723114
0,0.9802186,0.0070163077,0.012765053
0,0.98338205,0.0072946236,0.009323322
0,0.97266364,0.008138437,0.019197969
1,0.052652713,0.8903362,0.057011046
0,0.98234797,0.007842535,0.009809536
1,0.5515027,0.30303934,0.14545792
0,0.9825585,0.007495469,0.009945994
0,0.94579524,0.035649065,0.01855569
0,0.9793059,0.009117903,0.011576123
0,0.93257433,0.027885018,0.039540656
0,0.98281556,0.0087524075,0.008432051
0,0.98066175,0.009634492,0.009703775
0,0.68711704,0.14898296,0.16390002
0,0.9852271,0.007278818,0.007494033
2,0.8852555,0.06948885,0.0452556
1,0.9502409,0.034388572,0.015370502
2,0.9849165,0.006779805,0.008303698
0,0.9760335,0.008240774,0.015725665
2,0.9684845,0.019218456,0.012297063
0,0.97800946,0.009712696,0.0122778835
1,0.68042505,0.19547226,0.124102704
2,0.9651262,0.009487064,0.025386702
0,0.9818525,0.008837097,0.009310401
0,0.9817516,0.00798507,0.010263339
0,0.9733514,0.011051015,0.01559753
0,0.9742026,0.01380702,0.011990406
0,0.98096895,0.00775718,0.011273927
0,0.9838881,0.006998799,0.009113089
0,0.98466325,0.0069362274,0.008400476
0,0.9761478,0.008423249,0.015428978
1,0.047944568,0.9006701,0.05138529
1,0.060675744,0.8682067,0.0711176
0,0.97804993,0.009387524,0.012562488
0,0.9825707,0.008161259,0.0092679905
0,0.9766459,0.009469999,0.013884028
1,0.98388773,0.0077749016,0.008337359
0,0.98149925,0.0061072563,0.012393535
2,0.9807302,0.0069209496,0.012348903
2,0.23841219,0.6609517,0.10063617
0,0.98366207,0.008097898,0.008240095
0,0.8863752,0.039866474,0.073758356
0,0.97326106,0.014180865,0.0125580635
0,0.93285704,0.020178124,0.04696485
0,0.9619573,0.012568616,0.025474103
0,0.98109645,0.008554671,0.010348972
0,0.9783036,0.010016562,0.011679864
0,0.67892283,0.23648831,0.08458885
0,0.9817239,0.008415119,0.0098609645
0,0.84406257,0.100658104,0.055279244
0,0.9851614,0.0066875652,0.008151015
0,0.9795355,0.0097711105,0.010693456
0,0.9767081,0.0093524,0.013939403
0,0.9489414,0.033416517,0.017642003
1,0.98508877,0.0072972034,0.0076140813
0,0.9806362,0.006756584,0.01260713
0,0.9834282,0.008168701,0.00840304
0,0.98324454,0.0068986625,0.009856766
0,0.9719027,0.0112545295,0.016842749
0,0.98479813,0.0074968874,0.0077050356
0,0.16632089,0.7307283,0.10295073
0,0.98620087,0.0062181703,0.007580876
0,0.9752778,0.013536052,0.011186222
0,0.9808941,0.009780432,0.009325587
0,0.9079445,0.054703224,0.03735225
2,0.97510356,0.0098366365,0.015059874
1,0.056357417,0.9040789,0.039563645
1,0.056357417,0.9040789,0.039563645
0,0.9714966,0.008950678,0.01955265
2,0.976919,0.0081649935,0.014916001
1,0.056658108,0.89039534,0.052946564
2,0.8589134,0.076101385,0.06498516
0,0.8950489,0.05624144,0.04870959
0,0.98359674,0.007161297,0.009241948
0,0.7260474,0.15475628,0.11919634
0,0.9716997,0.0075026504,0.020797541
0,0.98008335,0.008085252,0.011831373
0,0.97313076,0.009580702,0.017288506
0,0.9825117,0.0070645506,0.01042377
0,0.376837,0.5389945,0.084168546
0,0.076496944,0.877765,0.045738056
0,0.97767776,0.012627029,0.0096952
0,0.982608,0.00809037,0.009301681
1,0.51631755,0.40743315,0.076249294
0,0.97273004,0.011049176,0.016220687
0,0.980612,0.009964985,0.0094230445
0,0.24106084,0.6649996,0.09393954
0,0.97796816,0.010895404,0.011136498
2,0.972325,0.015113689,0.012561342
0,0.97693676,0.011894416,0.011168869
0,0.68172157,0.18234341,0.135935
1,0.96109873,0.02458662,0.01431458
2,0.9021338,0.05627284,0.041593324
0,0.9838769,0.006455548,0.009667692
0,0.97919846,0.010792173,0.010009345
0,0.55071026,0.34113356,0.10815614
2,0.8637052,0.05612845,0.08016639
0,0.98151684,0.01030441,0.0081787845
0,0.97754294,0.008006468,0.014450531
0,0.9510914,0.015542724,0.033365812
0,0.4381268,0.40802917,0.15384403
0,0.9739775,0.011123108,0.014899431
0,0.97928923,0.0077038994,0.013006885
0,0.3617824,0.55505866,0.083158895
1,0.22187848,0.6813869,0.096734606
0,0.97982943,0.008362833,0.011807636
0,0.8883618,0.0765864,0.03505169
0,0.97034293,0.01642251,0.013234548
0,0.9774929,0.009968022,0.012539078
1,0.051376075,0.8980828,0.050541166
0,0.9733768,0.007886473,0.018736713
0,0.89264053,0.06791253,0.039446987
0,0.98297274,0.008629516,0.008397725
0,0.9556536,0.017519863,0.026826568
0,0.8036397,0.1284678,0.06789258
0,0.970212,0.014015745,0.015772263
0,0.91640925,0.02467472,0.05891601
0,0.98351765,0.007809133,0.0086731985
0,0.98188066,0.008325689,0.009793636
0,0.90659416,0.05040512,0.04300068
0,0.96538115,0.018677013,0.015941767
0,0.966969,0.014023295,0.01900772
0,0.96879816,0.017160455,0.014041322
0,0.98232,0.0066249394,0.011055095
0,0.9845632,0.0069654603,0.0084714005
0,0.95554805,0.0251066,0.019345315
1,0.97930473,0.009075997,0.011619277
2,0.98470426,0.007727385,0.007568311
1,0.29995358,0.52614075,0.17390563
0,0.69982445,0.23348041,0.0666952
0,0.9712297,0.015982235,0.012788031
0,0.98160213,0.007976899,0.010420982
0,0.98485065,0.006375821,0.008773534
0,0.96714103,0.019868836,0.012990112
1,0.043632124,0.90500253,0.05136531
0,0.9802151,0.010157089,0.009627807
0,0.95766664,0.019807586,0.022525836
0,0.9820992,0.008155293,0.009745558
0,0.9773679,0.011262001,0.011370127
2,0.92757255,0.04015667,0.0322708
0,0.9841989,0.007298612,0.0085025
0,0.98495734,0.0075398902,0.0075027314
0,0.9765901,0.009620897,0.013789021
0,0.9265059,0.031130636,0.04236333
0,0.96565294,0.0083863055,0.025960637
0,0.98416305,0.008078552,0.0077584055
0,0.97487134,0.014053686,0.011074893
0,0.971729,0.014167977,0.0141030615
0,0.9740519,0.012719464,0.01322868
0,0.98343027,0.006824266,0.009745472
0,0.80379164,0.09707661,0.0991318
0,0.9839663,0.007749051,0.008284661
0,0.9631773,0.01827352,0.018549154
0,0.9630106,0.015147372,0.021842087
0,0.9771285,0.008303362,0.0145681435
0,0.9840986,0.008586825,0.0073146117
0,0.983263,0.006499858,0.010237088
2,0.3504849,0.5650092,0.08450589
0,0.98099166,0.010080785,0.008927576
0,0.96337444,0.021320872,0.015304652
0,0.6711438,0.25985014,0.06900608
0,0.7420552,0.13336007,0.12458476
0,0.97256845,0.011010984,0.01642064
0,0.06213893,0.8906145,0.047246594
0,0.98415565,0.007716214,0.008128182
1,0.9811245,0.010181645,0.008693761
0,0.96862966,0.014307454,0.017062789
0,0.98380697,0.007462584,0.008730505
0,0.9747472,0.010298798,0.014954029
0,0.9830996,0.0074959076,0.009404571
0,0.9726303,0.011949817,0.015419811
1,0.5031489,0.41696614,0.07988494
0,0.9697454,0.017067803,0.013186738
0,0.9812707,0.008750662,0.009978685
0,0.93748724,0.026581585,0.03593122
0,0.946198,0.022215834,0.03158614
0,0.9840135,0.007344402,0.008642143
2,0.65284306,0.19631642,0.15084046
0,0.98583984,0.006323844,0.007836333
1,0.25214338,0.6509039,0.09695274
0,0.98442876,0.0067906957,0.008780525
0,0.98317254,0.0061678668,0.0106596025
0,0.9819036,0.0077497135,0.010346668
0,0.97286034,0.014214995,0.012924559
0,0.9402491,0.027680714,0.032070156
1,0.29352218,0.5884463,0.11803153
2,0.98283,0.007790782,0.009379168
0,0.93987143,0.025411244,0.034717362
0,0.9842704,0.007089954,0.008639721
1,0.35332796,0.49758086,0.14909117
0,0.9453282,0.028823437,0.025848333
0,0.98515004,0.0070164157,0.007833568
0,0.9843374,0.0072920895,0.008370458
0,0.96878695,0.015736366,0.015476675
2,0.8420966,0.08737748,0.07052594
0,0.69073987,0.16591358,0.14334656
1,0.8826206,0.081927724,0.03545163
0,0.98522955,0.0070084985,0.007761979
0,0.9816644,0.007910091,0.010425564
0,0.9808297,0.009567966,0.00960221
0,0.94472265,0.027555376,0.027721988
0,0.10199811,0.8205195,0.07748241
1,0.046049956,0.8956505,0.058299575
0,0.8835608,0.06941525,0.047023945
0,0.7488633,0.13200407,0.11913256
0,0.9009577,0.060213294,0.038829
0,0.98521715,0.0064944723,0.008288412
0,0.97335285,0.012494178,0.014152978
0,0.9799361,0.009677458,0.010386313
0,0.9568558,0.020887645,0.022256564
0,0.9730074,0.014524808,0.012467851
0,0.98061,0.010347176,0.009042737
1,0.54816544,0.31490168,0.1369329
0,0.9821438,0.0085510975,0.00930515
0,0.9585159,0.014466726,0.027017325
0,0.9730328,0.007141271,0.019825924
0,0.9660475,0.01327929,0.020673165
1,0.043234743,0.8990448,0.057720453
0,0.9819843,0.006810188,0.011205451
0,0.9749961,0.013815216,0.011188795
0,0.98092127,0.008951402,0.010127329
0,0.98079485,0.008422607,0.010782577
0,0.96205544,0.015431159,0.022513447
0,0.9816881,0.0068398234,0.011472095
0,0.9821032,0.007939476,0.009957355
0,0.05719567,0.88866705,0.05413735
0,0.98102194,0.0106984135,0.008279576
2,0.30822694,0.5139926,0.17778043
0,0.92957425,0.03932251,0.031103188
0,0.9791364,0.009915959,0.010947657
0,0.96214086,0.01575061,0.022108436
0,0.980737,0.009813422,0.009449617
1,0.83531237,0.109932356,0.054755174
0,0.98148614,0.008814382,0.009699459
0,0.969098,0.011245464,0.019656502
1,0.9461212,0.034081858,0.019796913
0,0.96882284,0.015892064,0.0152850775
1,0.06938094,0.88217413,0.048444886
0,0.9787078,0.010534142,0.010758072
0,0.6414295,0.24225248,0.11631806
0,0.9737017,0.009764626,0.0165336
0,0.9795346,0.011130655,0.009334793
0,0.97951514,0.009737581,0.010747307
0,0.9650388,0.016563002,0.018398201
0,0.97851664,0.009368208,0.012115075
0,0.9672287,0.022406396,0.010364881
0,0.9112546,0.032500397,0.056244984
0,0.98241997,0.007906171,0.009673825
2,0.96608245,0.015209123,0.018708317
0,0.9825172,0.0073837778,0.010098989
0,0.9733411,0.013278429,0.0133804865
2,0.89304185,0.05887029,0.04808793
1,0.046226643,0.89277476,0.06099864
0,0.9817369,0.0087497365,0.009513369
0,0.97320324,0.012447892,0.014348842
0,0.9824234,0.0077566,0.009819995
0,0.9622549,0.023327962,0.014417122
0,0.98505265,0.006101405,0.008845936
0,0.62076503,0.21136308,0.16787195
2,0.95679605,0.020752104,0.022451818
0,0.93742263,0.03683128,0.025746096
0,0.8124817,0.11180212,0.07571617
0,0.26912272,0.6637128,0.067164436
0,0.9801958,0.009016833,0.010787389
2,0.98175794,0.008451031,0.009790959
0,0.98196363,0.0072662085,0.0107701905
0,0.12691693,0.80370045,0.069382615
0,0.9726951,0.010102441,0.017202547
1,0.045832787,0.89715517,0.057012007
0,0.9750386,0.010519349,0.014442026
0,0.97659135,0.00838952,0.015019243
0,0.9829748,0.008310323,0.008714871
0,0.43785754,0.44557497,0.116567515
0,0.9728776,0.011310866,0.015811486
0,0.9837728,0.007442269,0.008784965
0,0.98354995,0.008383391,0.008066731
0,0.98026764,0.009455355,0.010276972
0,0.97156435,0.013300686,0.015134905
0,0.9026008,0.033127382,0.0642718
0,0.9777214,0.009251399,0.0130272
0,0.9819987,0.008944679,0.009056626
0,0.9776328,0.009000404,0.013366729
0,0.98279655,0.0075543076,0.009649224
0,0.9656949,0.022674404,0.011630621
0,0.9631773,0.01827352,0.018549154
0,0.9858607,0.0061937966,0.00794543
0,0.97600853,0.011525619,0.012465772
0,0.9805484,0.009734568,0.009717071
2,0.82863075,0.08508854,0.08628069
0,0.9845471,0.0068287714,0.00862414
2,0.47031823,0.38138568,0.14829609
0,0.9816921,0.008529971,0.009777949
0,0.9731194,0.015578277,0.011302326
0,0.98093194,0.005991777,0.013076285
0,0.97897196,0.009784296,0.011243724
0,0.9830556,0.0074272575,0.009517212
0,0.9555316,0.02710517,0.017363314
0,0.98455495,0.006627391,0.008817652
0,0.94176817,0.020600319,0.03763147
0,0.9817556,0.01053707,0.007707255
0,0.98408926,0.0072755516,0.008635096
0,0.96209806,0.015116956,0.022785008
0,0.983076,0.0071121138,0.009811863
0,0.9442595,0.022971522,0.03276903
0,0.98207897,0.007685476,0.0102356
0,0.97967255,0.008372908,0.011954578
2,0.97550994,0.009084054,0.015405948
0,0.9784182,0.011661575,0.009920296
0,0.98225445,0.0085448045,0.009200796
0,0.95921755,0.016415583,0.024366764
0,0.98121053,0.008729281,0.010060227
2,0.8616313,0.085042715,0.053325947
0,0.89606106,0.05351352,0.05042539
0,0.9716878,0.010472952,0.017839259
0,0.97267795,0.014064085,0.013257984
0,0.9767843,0.012617487,0.010598135
1,0.04911824,0.9084517,0.042430095
0,0.98606455,0.0058848574,0.008050634
0,0.91879326,0.028121239,0.05308553
0,0.98116195,0.0061686663,0.012669341
0,0.9838806,0.008346515,0.0077728503
0,0.98093307,0.00788553,0.011181415
0,0.95068485,0.029819213,0.01949605
1,0.043924883,0.8959625,0.060112674
2,0.9425798,0.01751228,0.039907817
0,0.9812108,0.0066814497,0.012107777
2,0.9415293,0.033752255,0.024718352
0,0.97667265,0.008620593,0.014706741
0,0.98355997,0.008112614,0.008327384
0,0.87333226,0.067381896,0.059285782
0,0.96719766,0.016676674,0.016125612
0,0.96981347,0.014451542,0.01573496
0,0.98309386,0.006362124,0.010544044
0,0.98514843,0.007481806,0.007369722
0,0.9810255,0.009480627,0.009493873
0,0.9565918,0.018445304,0.02496284
0,0.98029584,0.009751758,0.009952357
0,0.97824436,0.00774941,0.014006251
0,0.9591516,0.013621638,0.027226737
0,0.9840307,0.0070489934,0.008920214
0,0.98450387,0.007537166,0.007958853
2,0.73648596,0.18035005,0.08316404
0,0.9796126,0.010071198,0.010316119
0,0.9743111,0.013622146,0.012066694
1,0.32510275,0.5795582,0.09533908
0,0.9831995,0.0066962745,0.010104307
0,0.9817345,0.009138483,0.009127073
0,0.9695174,0.01050979,0.019972801
2,0.10199811,0.8205195,0.07748241
1,0.8314027,0.08775806,0.08083925
0,0.9634849,0.01270807,0.023807049
1,0.37014082,0.5685851,0.061274048
0,0.9795965,0.008852537,0.011551007
0,0.9695346,0.012170468,0.018294986
0,0.9738386,0.008981352,0.01718007
0,0.98051786,0.009280188,0.010201934
0,0.84052974,0.10988182,0.04958843
0,0.90686095,0.04713263,0.04600648
2,0.08570029,0.8526466,0.06165318
0,0.97903425,0.0098006595,0.011165141
0,0.9692816,0.015816517,0.014901951
0,0.9161102,0.0466587,0.03723103
0,0.9601784,0.022044953,0.017776642
0,0.97315365,0.012086441,0.014759974
0,0.97984076,0.009456688,0.010702456
0,0.98346436,0.007852273,0.00868333
2,0.9774425,0.010484276,0.012073292
0,0.9823673,0.009400976,0.008231659
0,0.9785997,0.008649317,0.012750961
0,0.9832054,0.008834531,0.007960181
0,0.9629216,0.020374544,0.016703945
2,0.77256685,0.088684894,0.1387483
2,0.9745241,0.010897834,0.014578108
0,0.043944426,0.91609883,0.039956693
1,0.2894188,0.6321627,0.07841846
0,0.97967076,0.009569284,0.010759957
0,0.9633479,0.012982445,0.023669653
0,0.9807885,0.009099204,0.010112241
0,0.9833422,0.007982207,0.008675575
0,0.9715649,0.013185059,0.015250106
0,0.9770428,0.011623446,0.01133376
0,0.9846089,0.0068559325,0.008535141
0,0.9825864,0.008612137,0.008801466
0,0.9723541,0.012720048,0.014925803
0,0.9813374,0.009031696,0.009630829
0,0.9771607,0.008070737,0.01476858
2,0.83862114,0.09944437,0.061934486
0,0.96829236,0.01710114,0.014606555
0,0.9660493,0.012817855,0.021132797
2,0.43879154,0.460087,0.10112151
0,0.94808805,0.024166025,0.027745996
2,0.7509681,0.12979113,0.119240716
0,0.7122493,0.22307698,0.064673714
0,0.98269063,0.008281898,0.009027493
0,0.94437253,0.02871901,0.026908552
2,0.92752516,0.039574053,0.03290076
2,0.554357,0.35223296,0.09341005
1,0.963157,0.014616659,0.02222633
0,0.9195542,0.04801109,0.03243471
0,0.9694699,0.011375797,0.019154342
0,0.9725781,0.009063073,0.018358797
0,0.9190316,0.034796383,0.046171945
0,0.9847009,0.007049494,0.008249655
0,0.9591237,0.02457909,0.016297143
0,0.92328435,0.031732515,0.04498322
0,0.98349875,0.0073228246,0.009178439
2,0.740131,0.1805812,0.079287834
0,0.9850087,0.006056041,0.008935246
0,0.95628494,0.01650546,0.027209641
0,0.9539447,0.022136252,0.023919068
0,0.9647517,0.01886288,0.016385285
0,0.982018,0.009925344,0.008056656
0,0.9854624,0.006298715,0.008238873
0,0.98547864,0.005958315,0.008563138
1,0.62531817,0.24557962,0.12910223
0,0.9848883,0.0064551537,0.008656489
0,0.9764128,0.011944733,0.011642507
0,0.97692215,0.010065147,0.013012684
0,0.85429347,0.098080195,0.0476264
0,0.98349434,0.008304683,0.008200934
2,0.9100421,0.043128807,0.04682907
0,0.9841373,0.0073861345,0.008476542
1,0.9506188,0.02339567,0.025985522
0,0.9825783,0.009127842,0.008293759
2,0.20931831,0.66674787,0.12393377
0,0.97963744,0.010564527,0.009798009
0,0.98145515,0.009105126,0.009439686
0,0.97508776,0.012407163,0.012505004
0,0.9653405,0.016168306,0.01849125
0,0.9840986,0.008586825,0.0073146117
0,0.9616075,0.021413466,0.01697908
0,0.10723373,0.83730274,0.055463538
0,0.983253,0.008262262,0.008484755
1,0.7137493,0.19905382,0.08719697
0,0.9817893,0.0084255,0.009785204
0,0.98191684,0.009177013,0.008906188
1,0.05280525,0.9004892,0.046705507
0,0.98080325,0.006574855,0.012621994
0,0.9676284,0.01860966,0.013761911
0,0.98386496,0.007767074,0.008367945
0,0.9842981,0.006809375,0.00889258
0,0.8951447,0.044251967,0.06060333
0,0.9815683,0.007801396,0.010630341
0,0.95889664,0.017349586,0.023753809
0,0.9757701,0.008065245,0.016164657
0,0.9781424,0.009738606,0.012119003
0,0.9786115,0.009986244,0.011402202
0,0.9815394,0.009853142,0.008607336
1,0.08147559,0.8542165,0.064307846
0,0.8907836,0.044409506,0.06480687
0,0.3652069,0.5481331,0.086660035
0,0.9759016,0.008174888,0.015923584
