Comment,label,POSITIVE,NEGATIVE
"Bergman, Correa, and Gurriel... Imagine being so cocky when you need to cheat to win lmao",2,0.07739377021789551,0.9226062297821045
"If you're Caucasian/Hispanic(not latino) don't even bother with Filipino ""flirting"" culture, these women swoon over foreigners without any standard whatsoever. Edit:Thanks for the clarification",2,0.19415879249572754,0.8058412075042725
And what of Jebus of the Jebusites?,2,0.006422936916351318,0.9935770630836487
white twink when someone talks good about lemonade be like,2,0.08568745851516724,0.9143125414848328
"This is bullcrap lol. If you can't handle PvP, there are carebear PvE servers for you.",2,0.0010842084884643555,0.9989157915115356
Mentally ill tranny has to settle for a Paki midget go figure,2,0.0003185272216796875,0.9996814727783203
"Scat is awesome.  I love scat.  Mel Torme, baby.",2,0.9998552799224854,0.00014472007751464844
He's a wanker.,2,0.00036787986755371094,0.9996321201324463
"you're a wuss. if you need karma to ask out a girl, that's pathetic lol",2,0.0005494952201843262,0.9994505047798157
They think we're all skinny so they bring in more FATT...hoe lee fu&lt;CLICK!&gt;,2,0.009160459041595459,0.9908395409584045
"Lol, seriously? I thought that those fanatics wanted everyone to be a virgin for jebus until they got married. Then again, they also hate gay people, even though we're not physically capable of creating potential abortions with each other.",2,0.005459487438201904,0.9945405125617981
Automod acting homosexual today tf,2,0.030672669410705566,0.9693273305892944
Homosexual Obsessive Compulsive Disorder. You have this obsessive compulsive fear that you're secretly gay.,2,0.008099913597106934,0.9919000864028931
Simp stands for: Sexy Insest Minion Porn.,2,0.956184983253479,0.043815016746520996
"After Brandy got blacked some 32 odd times, he absorbed some of their culture into himself the next time he and Brandy creates some nasty coitus",2,0.020184874534606934,0.9798151254653931
Ugly Cock Blockers,2,0.00028079748153686523,0.9997192025184631
No pain no gain dink face,2,0.9244354367256165,0.07556456327438354
Porch monkey!,2,0.9620640873908997,0.03793591260910034
boring. 10/10 would be gay,2,0.001135110855102539,0.9988648891448975
"Hokkaido. It?s in South County, close enough and it is a damn good Asian buffet.",2,0.9995315074920654,0.0004684925079345703
"It just shows how little control she has over her body. Most people may feel the urge to urinate in hot water, but we keep ourselves from actually doing it because we are decent people and not animals. And it shows her level of maturity judging by how she joked about it and tried to laugh it off because it?s ?a thing she does??when she gets in hot tubs.  It?s so gross. I agree with another poster that her friends should stop letting her get away with crap like this.",2,0.4588441252708435,0.5411558747291565
PapayaDreaming is paid out of pocket to write foot fetish material by a cohort of foot fetish Rioters in a secret society.,2,0.002741575241088867,0.9972584247589111
"Donald Trump is your President, and you're a turd in a sewer.",2,0.00041216611862182617,0.9995878338813782
